emp_no,birth_date,first_name,last_name,gender,hire_date
10623,1953-07-11,Aleksander,Danlos,F,1987-03-07
10628,1954-04-18,Krisda,Krogh,M,1985-09-11
10631,1955-05-17,Inderjeet,Chaudhuri,M,1988-02-16
10642,1955-12-19,Hirochika,Narlikar,M,1986-08-06
10653,1953-06-16,Otmar,Feinberg,M,1987-04-30
10671,1953-06-12,Parviz,Rebaine,M,1987-01-08
10676,1953-08-26,Valeri,Danley,F,1986-03-20
10693,1953-12-14,Berhard,Daescu,F,1986-01-08
10702,1952-11-25,Bader,Szemeredi,M,1985-07-23
10718,1955-12-19,Adib,Rullman,M,1988-07-21
10726,1954-01-11,Zita,Minakawa,F,1985-09-01
10734,1954-07-06,Sachar,Erdi,M,1985-04-03
10745,1953-10-23,Poorav,Ranze,F,1987-05-26
10749,1955-08-21,King,Brendel,M,1985-09-26
10767,1954-02-28,Monique,Doering,F,1987-06-17
10768,1955-06-24,Ishfaq,Candan,M,1985-07-04
10778,1953-03-13,Selwyn,Merey,M,1986-07-04
10791,1954-05-27,Tadahiko,Sgarro,M,1988-07-30
10795,1954-12-14,Supot,Naudin,M,1985-05-21
10808,1955-09-11,Chenxi,Leijenhorst,M,1987-03-07
10835,1952-11-23,Tomoyuki,Kermarrec,M,1985-07-28
10836,1953-07-15,Jianhua,Leivant,F,1985-07-26
10844,1954-02-03,Dipayan,Koprowski,M,1987-03-03
10847,1952-03-04,Theirry,Danley,M,1986-07-25
10848,1954-07-16,Fen,Bratsberg,F,1985-04-20
10878,1952-06-13,Lakshmi,Deville,M,1988-02-25
10879,1953-08-18,Muzhong,Chleq,F,1985-08-15
10883,1952-07-30,Shimshon,Champarnaud,M,1987-11-07
10909,1954-11-11,Georgi,Atchley,M,1985-04-21
10921,1955-07-20,Mara,Bahi,F,1986-07-27
10924,1954-04-27,Hironoby,Atchley,F,1988-08-14
10927,1953-03-13,Gal,Scallan,M,1985-10-26
10936,1953-04-08,Mountaz,Schicker,F,1987-10-27
10943,1955-11-19,Berna,Skafidas,M,1988-02-19
10965,1955-07-10,Eckart,Braunschweig,M,1986-07-29
10969,1954-09-05,Premal,Noriega,M,1988-08-22
10974,1952-03-07,Muneo,Papsdorf,M,1985-11-25
10986,1954-08-11,Masako,Schiper,M,1985-10-11
10988,1955-06-24,Chinya,Deyuan,M,1985-06-19
10989,1954-09-08,Sumali,Candan,F,1985-07-20
10990,1954-10-22,Shin,Foote,M,1988-07-06
11009,1954-08-30,Alper,Axelband,F,1986-09-09
11012,1953-09-12,Taegyun,Speckmann,F,1986-12-28
11019,1954-09-06,Leon,Huttel,M,1985-02-04
11021,1954-07-13,Srinidhi,Henders,F,1985-05-24
11027,1955-12-13,Remzi,Cappello,M,1986-05-07
11031,1954-12-20,Ottavia,Walstra,M,1985-04-26
11037,1952-05-22,Lansing,Maliniak,M,1988-01-28
11038,1955-10-13,Jinya,Beidas,M,1985-07-15
11042,1955-07-13,Gou,Breugel,F,1988-06-26
11048,1952-10-26,Jaques,Demke,M,1985-02-26
11050,1952-09-23,Elvis,Katiyar,M,1986-05-06
11051,1952-10-06,Przemyslawa,Erol,F,1985-08-09
11070,1952-06-30,Adib,Raney,M,1985-07-24
11081,1952-06-20,Barry,Boyle,M,1985-06-17
11085,1953-09-08,Hailing,Thummel,M,1986-11-27
11100,1955-10-14,Berna,Cochrane,M,1986-10-13
11106,1955-02-23,Aris,Iwayama,F,1985-08-31
11112,1954-08-05,Boaz,Mukaidono,M,1987-08-20
11113,1953-04-28,Shahab,Peng,F,1985-11-30
11121,1953-02-13,Vugranam,Kakkad,F,1987-02-21
11133,1955-12-13,Nalini,Azulay,M,1988-02-04
11134,1954-05-15,Sachar,Rajcani,F,1988-05-26
11137,1955-03-17,Hugh,Luca,M,1986-07-31
11139,1955-10-13,Bogdan,Homond,F,1985-12-24
11146,1954-06-25,Ishfaq,Masand,F,1988-03-21
11148,1953-01-23,Zhanqiu,Botman,F,1985-07-06
11162,1953-03-25,Kauko,Narlikar,F,1985-03-28
11180,1952-11-07,Mitsuyuki,Bojadziev,F,1986-06-11
11197,1955-05-11,Tadahiro,Fordan,M,1986-04-13
11204,1955-12-15,Diederik,Covnot,M,1985-09-18
11207,1955-08-14,Saeed,Gips,F,1987-11-09
11208,1952-05-29,Saniya,Valtorta,F,1988-08-26
11211,1952-12-11,Yurij,Rissland,M,1985-09-17
11217,1954-07-01,Kellie,Mawatari,M,1987-09-22
11232,1955-09-03,Hidefumi,Crelier,M,1988-02-02
11240,1955-08-12,Kiam,Condotta,M,1988-11-11
11249,1954-10-01,Randi,Cyre,M,1985-08-29
11251,1955-10-16,Bezalel,Chinal,M,1985-11-26
11268,1954-05-14,Aimee,Petersohn,F,1985-05-17
11275,1955-10-18,Hitomi,Eppinger,F,1987-05-26
11290,1953-05-07,Visit,Dredge,M,1985-09-08
11295,1953-02-03,Abdelkader,Lanzelotte,M,1985-05-15
11319,1955-06-05,Pranas,Marrakchi,F,1986-10-03
11320,1954-04-13,Atilio,McAlpine,M,1987-11-24
11322,1952-07-19,Nathalie,Pocchiola,F,1985-02-08
11324,1953-11-16,Kauko,Billingsley,F,1985-08-29
11338,1954-11-03,Kwangsub,Hanratty,M,1987-04-14
11339,1954-06-05,Flemming,Massonet,M,1987-05-09
11347,1954-12-27,Anneli,Jonsson,M,1986-04-20
11365,1953-11-17,Toshimi,Shinomoto,M,1988-04-02
11376,1952-03-10,Valery,Suomi,M,1986-03-14
11380,1952-04-23,Kenroku,Pelc,M,1988-03-03
11385,1952-03-04,Shiv,Ullian,M,1988-05-22
11386,1954-09-27,Alselm,Assaf,F,1987-11-30
11393,1954-05-17,Junsik,Junot,M,1985-04-30
11398,1953-05-30,Oscar,Peir,M,1986-08-23
11404,1954-09-15,Bedrich,Borovoy,M,1987-03-06
11415,1953-10-29,Sanjiv,Anido,M,1987-03-03
11421,1953-11-07,Josyula,Msuda,F,1986-09-02
11441,1954-11-16,Marlo,Aingworth,M,1987-03-27
11449,1955-03-30,Kotesh,Asser,M,1986-08-27
11459,1953-10-14,Duke,Suomi,M,1986-05-03
11469,1952-12-01,Guttorm,Giaccio,M,1988-05-23
11506,1955-06-16,Rance,Picel,F,1986-07-01
11509,1954-06-18,Aleksander,Feldhoffer,M,1987-11-12
11513,1954-07-16,Otmar,Mahnke,M,1986-03-27
11515,1955-03-03,Ulf,Basawa,F,1986-02-27
11518,1953-07-21,Jinxi,Oxman,M,1985-07-03
11524,1955-10-26,Xiadong,Standera,M,1988-09-20
11527,1952-02-06,Alagu,Boyle,M,1988-07-03
11528,1955-04-26,Zito,Dolinsky,M,1987-06-15
11537,1955-06-29,DAIDA,Pehl,M,1986-07-06
11554,1955-05-28,Subhash,Taubenfeld,M,1988-10-17
11555,1955-08-05,Kotesh,Perfilyeva,M,1986-10-14
11567,1954-07-06,Teiji,Mitzlaff,M,1988-02-03
11568,1955-12-01,Martins,Fujisaki,M,1987-07-28
11603,1954-12-07,Herb,Swen,F,1985-04-13
11607,1953-12-03,Tomokazu,Foong,F,1987-09-12
11615,1955-03-05,Shem,Isaak,F,1988-09-13
11624,1955-05-16,Adil,Gammage,M,1988-04-05
11628,1952-02-14,Fan,Malinowski,M,1988-10-23
11640,1953-10-06,Valeri,Coorg,M,1987-01-18
11647,1953-10-13,Magy,Nitsche,M,1988-05-11
11660,1955-07-19,Gill,Stenning,F,1986-11-22
11673,1954-12-20,Henk,Felder,F,1988-10-13
11676,1952-04-12,Valeri,Ferriere,F,1985-03-16
11681,1952-05-15,Fumitake,Benzmuller,F,1987-01-21
11684,1953-03-07,Oksana,Gide,F,1986-02-21
11696,1954-10-26,Dante,Rothe,M,1985-10-23
11732,1955-06-14,Sanjoy,Ranft,F,1985-08-11
11735,1955-02-19,Amalendu,Picci,M,1988-07-14
11746,1952-05-22,Koichi,Marrakchi,F,1988-11-17
11751,1953-02-02,Jiafu,Emiris,M,1988-11-03
11764,1953-04-22,Sanjay,Anick,F,1988-04-25
11769,1953-07-17,Chandrasekaran,Lampe,M,1988-02-15
11772,1954-06-19,Gaurav,Penz,F,1987-12-04
11797,1954-08-12,Chenxi,Thambidurai,M,1988-08-30
11810,1952-12-08,Amabile,Bhattacharjee,M,1987-03-17
11817,1955-05-25,Niranjan,Markovitch,M,1986-04-12
11832,1952-05-18,Arto,Zlotek,M,1986-10-16
11844,1953-10-30,Shawna,Demeyer,M,1988-01-27
11853,1952-06-19,Zeljko,Kusakabe,F,1988-11-17
11857,1955-12-03,Divier,Farrag,F,1986-08-27
11864,1952-06-14,Pradeep,Kriebel,F,1985-11-12
11871,1953-05-02,Nalini,Sommen,M,1988-01-23
11872,1953-01-17,Cheong,Riexinger,M,1987-12-06
11894,1954-12-23,Mitchel,Validov,M,1988-06-22
11897,1952-11-23,Cordelia,Setlzner,M,1987-12-27
11906,1955-04-26,Hideo,Boguraev,F,1987-03-30
11915,1954-08-16,Miomir,Mawatari,M,1987-08-29
11931,1952-10-30,Gunilla,Chiodo,F,1988-10-03
11933,1953-08-15,Basil,Erman,M,1987-06-13
11949,1953-01-27,Martijn,Harbusch,M,1985-03-11
11983,1953-01-04,Jaana,Hedayat,M,1986-10-11
11993,1955-10-29,Marit,Dalphin,M,1986-06-25
12011,1953-12-16,Zhilian,Coorg,F,1988-07-22
12036,1953-03-02,Mads,Ratzlaff,M,1986-09-05
12037,1954-01-11,Arunas,Katzenelson,M,1986-10-01
12050,1953-06-08,Yuchang,Tchuente,F,1988-10-10
12062,1954-01-20,Margareta,Worfolk,M,1985-02-03
12069,1953-12-27,Ayonca,Burnard,M,1985-05-13
12070,1955-07-23,Ger,Shokrollahi,M,1988-11-14
12076,1955-03-16,Karlis,Siprelle,F,1985-03-25
12082,1953-09-20,Xinan,Yamaashi,M,1986-01-29
12089,1954-06-21,Bilhanan,Socorro,M,1986-10-22
12099,1953-01-12,Nobuyoshi,Kuzuoka,M,1987-08-23
12112,1953-07-01,Satyanarayana,Avouris,M,1986-05-24
12122,1954-06-27,Satoru,Krone,F,1987-07-24
12123,1954-07-08,Xiahua,Syrzycki,F,1987-07-18
12125,1953-04-16,Shounak,Erman,F,1987-05-01
12149,1954-10-25,Suebskul,Grandbois,M,1988-10-01
12159,1955-08-15,Shem,Perly,M,1985-07-17
12165,1952-11-19,Xiaobin,Maquelin,F,1985-04-27
12183,1954-06-29,Harngdar,Iisaku,M,1987-09-19
12192,1954-11-06,Feiyu,Klyachko,F,1985-03-16
12205,1955-08-24,Sushant,Rossi,M,1986-04-14
12206,1954-11-21,Barton,Janetzko,F,1985-03-27
12218,1954-08-01,Yaghout,Strooper,M,1985-02-18
12221,1955-07-14,Vincent,Melter,M,1985-09-16
12222,1953-03-04,Abdelwaheb,Holburn,F,1986-09-01
12223,1954-07-27,Niteen,Koyama,F,1986-08-13
12247,1952-03-26,Subbu,Penttonen,F,1985-04-09
12249,1952-09-20,Eldridge,Sadowski,M,1987-02-28
12256,1955-02-15,Guadalupe,Reghbati,F,1985-08-26
12264,1953-12-30,Mart,Pagter,M,1987-07-24
12270,1953-08-10,Shakhar,Kornyak,M,1988-01-04
12272,1955-10-16,Behnaam,Grandbois,F,1987-12-08
12308,1952-02-17,Mototsugu,Cronau,M,1985-08-11
12311,1955-02-11,Susanne,Lubachevsky,M,1985-10-22
12327,1952-05-21,DAIDA,Bruckman,M,1986-10-16
12341,1955-02-13,Rasiah,Luga,M,1985-05-25
12343,1952-10-18,Sorina,Slaats,M,1988-08-25
12365,1954-01-21,Kamakshi,Bisiani,M,1985-04-07
12373,1953-04-26,Mooi,Driscoll,F,1985-03-22
12395,1955-01-08,Sanjit,Felder,M,1988-02-04
12399,1955-11-15,Mihalis,Luga,M,1987-12-07
12411,1952-05-31,Shao,Ibel,M,1986-08-17
12413,1955-06-17,Hugh,Gadepally,F,1988-05-04
12417,1955-11-18,Dannz,Spelt,F,1988-07-05
12422,1954-12-04,Berhard,Demos,F,1985-07-20
12454,1954-08-21,Kerryn,Farris,F,1986-09-10
12464,1955-09-08,Shai,Milicic,F,1986-08-18
12475,1953-03-30,Filipe,Roison,M,1987-04-26
12487,1954-04-24,Mona,Reghbati,F,1987-10-04
12489,1955-01-23,Arnould,Munck,F,1986-04-11
12490,1955-08-08,Jackson,Muchinsky,F,1988-05-16
12497,1953-08-26,Stein,Penz,M,1985-04-05
12501,1954-11-22,Morrie,Matheson,F,1986-06-05
12504,1953-01-04,Adly,Rosaz,F,1987-04-17
12514,1952-11-14,Tomofumi,Melter,M,1985-12-03
12528,1952-11-20,Conor,Cincotta,F,1988-09-24
12534,1953-01-31,Yongmao,Gerlach,M,1985-08-14
12541,1952-04-22,Shih,Nanard,M,1988-08-31
12542,1954-07-26,Kazuhide,Bouloucos,F,1987-09-12
12551,1954-03-15,Jeane,Tzvieli,M,1987-12-04
12553,1954-05-08,Aral,Vesna,M,1987-02-28
12557,1954-01-01,Stafford,Kopetz,M,1988-03-20
12589,1952-11-23,Anoosh,Chleq,M,1988-09-08
12596,1955-10-10,Breannda,Roisin,M,1986-04-25
12601,1955-08-16,Ghassan,Simkin,M,1988-12-17
12608,1955-10-27,Nectarios,Mondadori,M,1985-06-23
12635,1952-11-09,Xinyu,Restivo,F,1985-11-27
12638,1954-11-09,Yuqun,Seiwald,F,1986-07-01
12642,1955-09-27,Suebskul,Gips,F,1987-05-24
12651,1952-07-24,Pragnesh,Bael,M,1988-01-27
12662,1952-08-02,Leucio,Alvarado,M,1985-08-27
12663,1954-10-31,Nobuyoshi,Stellhorn,M,1986-09-29
12664,1952-05-01,Zhonghua,Parveen,M,1987-08-19
12689,1953-01-19,Luerbio,Boudaillier,M,1987-04-12
12691,1952-10-17,Oddvar,Gils,M,1987-11-21
12697,1955-06-25,Uri,Brizzi,M,1986-07-11
12709,1955-08-09,Ronghao,Botman,M,1985-12-02
12717,1953-04-17,Tzu,Jiafu,F,1988-05-16
12722,1955-09-23,Elliott,Cheshire,F,1985-03-29
12726,1954-03-27,Fumitake,Panwar,M,1988-09-04
12729,1954-05-18,Nahla,Rahier,F,1987-08-25
12731,1953-05-09,Yongmao,Waymire,F,1988-04-05
12732,1952-09-27,Mara,Takanami,M,1988-04-06
12734,1952-03-05,Gil,Frijda,M,1986-03-03
12755,1955-02-20,Rildo,Rodite,F,1987-03-18
12773,1952-06-26,Jenwei,Lovengreen,M,1985-03-05
12790,1953-02-05,Gunilla,Perl,F,1986-04-22
12795,1952-05-06,Masoud,Fordan,M,1986-10-11
12798,1952-05-18,Lillian,Beeson,F,1987-12-27
12803,1952-05-12,Gad,Boissier,M,1985-03-16
12815,1955-03-25,Sushant,Junot,M,1985-02-27
12819,1953-07-30,Mountaz,Gubsky,M,1986-11-30
12848,1953-01-17,Kazuhide,Smeets,M,1987-06-14
12863,1954-08-02,Leif,Matheson,M,1985-09-06
12872,1953-02-18,Marl,Schmittgen,F,1986-09-09
12879,1955-09-07,Baruch,Eugenio,M,1986-05-14
12890,1955-10-05,Neven,Casley,F,1985-10-31
12893,1954-10-09,Licheng,Crouzet,M,1987-03-18
12895,1952-04-28,Roddy,Serot,M,1988-05-25
12905,1955-01-24,Munehiro,Gecsei,M,1987-07-19
12926,1952-04-24,Heekeun,Luby,M,1985-12-24
12940,1953-10-25,Odinaldo,Farrar,F,1987-12-12
12941,1954-07-29,Tommaso,Perelgut,F,1986-11-06
12949,1955-02-24,Geoff,Asrin,F,1987-02-12
12977,1954-11-29,Byong,Markovitch,M,1987-08-24
12983,1954-04-07,Elliott,Hambrick,F,1985-12-01
13030,1955-02-12,Yahiko,Kroll,M,1987-07-02
13046,1953-03-09,Vivian,Stafford,M,1987-04-19
13047,1953-04-24,Atilio,Chelton,M,1987-01-04
13075,1955-05-24,Rosella,Morrin,M,1986-08-17
13076,1954-03-09,Deniz,Skafidas,F,1988-06-14
13096,1953-01-03,Ibibia,Armand,M,1988-10-25
13103,1952-05-09,Srinidhi,Ellozy,F,1988-06-19
13124,1955-11-06,Quingbo,Garnick,F,1985-03-17
13133,1955-06-21,Guther,Senzako,M,1985-09-03
13134,1955-06-25,Lorien,Chepyzhov,M,1987-08-29
13144,1952-07-11,Persi,Nollmann,M,1987-10-16
13146,1953-11-01,Haldon,Erie,M,1985-05-25
13147,1955-12-28,Shichao,Ginesta,M,1985-12-16
13156,1952-04-19,Akeel,Millington,M,1986-12-29
13165,1954-09-09,Lucian,Benner,F,1988-03-16
13168,1954-06-10,Munir,Stentiford,F,1987-09-11
13170,1955-10-25,Cheong,Bernardeschi,M,1986-05-07
13171,1954-12-29,Anoosh,Birnbaum,M,1987-08-31
13173,1953-04-20,Arve,Horswill,M,1987-09-24
13179,1955-09-09,Moty,Janocha,M,1987-04-16
13182,1954-02-25,Kokou,Rodite,M,1985-08-27
13186,1955-06-19,Kyoichi,Barbanera,M,1986-04-29
13192,1953-01-28,Rosita,Flowers,M,1988-11-10
13202,1953-05-10,Aram,Scharstein,F,1986-03-29
13210,1953-06-19,Jianhua,Klassen,M,1986-09-19
13213,1954-12-29,Hein,Billawala,M,1988-02-03
13232,1955-01-29,Mitchel,Fujisaki,F,1986-06-02
13233,1954-08-11,Alselm,Chvatal,M,1987-03-31
13238,1953-02-23,Ebru,Foote,F,1985-10-30
13240,1955-02-14,King,Pileggi,M,1987-12-20
13250,1954-02-20,Zeydy,Schusler,M,1985-11-19
13272,1953-10-11,Arun,Jiang,F,1985-03-10
13276,1955-05-07,Yechiam,Seuren,M,1986-03-09
13288,1952-08-24,Muneo,Broomell,F,1987-04-14
13291,1952-04-29,Georg,Stamatiou,M,1986-10-30
13302,1954-06-21,Mack,Alencar,F,1987-04-19
13315,1955-09-08,Sakthirel,Stroustrup,F,1988-05-08
13332,1954-12-02,Nidapan,Pearson,F,1987-09-24
13333,1953-07-17,Yoshinari,Hennebert,M,1988-03-23
13341,1953-06-02,Bodh,Doering,F,1986-03-11
13343,1952-04-06,Heon,Usery,M,1988-07-29
13368,1953-12-29,Kiyokazu,Klassen,M,1988-04-24
13371,1954-01-23,Nakhoon,Riexinger,F,1986-07-29
13373,1954-09-08,Juichirou,Naumovich,M,1987-06-13
13385,1954-11-15,Claudi,Buchter,M,1986-06-10
13386,1952-04-27,Khosrow,Sgarro,F,1986-02-23
13389,1954-04-26,Divine,Cmelik,F,1988-03-23
13392,1953-04-05,Fumitake,Beidas,F,1988-08-26
13396,1952-05-19,Chuanyi,Aumann,F,1987-09-22
13402,1955-05-15,Augustine,Dulli,M,1985-09-15
13405,1954-01-19,Randy,Baba,F,1986-09-18
13407,1954-01-09,Gio,Chenoweth,M,1987-10-30
13408,1954-12-27,Sreekrishna,Lagarias,M,1986-04-26
13415,1955-06-23,Nathalie,Speer,F,1986-01-01
13422,1952-08-20,Vishwani,Gerlach,F,1988-01-17
13442,1953-03-14,Giordano,Miake,M,1987-06-16
13443,1954-07-22,Mayuko,Puppo,M,1985-03-06
13445,1954-12-22,Renee,Dehkordi,M,1986-04-14
13451,1952-03-21,Gretta,Weiland,M,1986-08-23
13457,1955-06-27,Shooichi,Parfitt,M,1986-01-18
13458,1954-12-21,Feipei,Nivat,F,1985-12-12
13463,1954-08-29,Theron,Berstel,F,1988-01-26
13465,1953-11-01,Sasan,Rehfuss,M,1985-07-08
13493,1954-09-08,Uinam,Jullig,F,1987-09-07
13504,1954-01-09,Parto,Mandell,F,1986-12-21
13524,1955-11-06,Chaoyi,Porotnikoff,F,1985-07-27
13535,1954-12-25,Arunas,Schlenzig,F,1986-05-19
13546,1955-02-22,Aimee,Brookner,F,1988-10-26
13549,1952-05-02,Matk,Koprowski,M,1988-05-12
13552,1955-03-23,Ingmar,Capobianchi,M,1985-03-23
13576,1954-08-05,Jungsoon,Engberts,F,1986-08-22
13605,1953-08-02,Dmitry,Encarnacion,F,1985-09-29
13621,1954-02-28,Fei,Haddadi,M,1986-08-24
13624,1952-12-15,Zhigen,Yurek,M,1987-05-12
13629,1954-09-13,Dzung,Trelles,M,1987-01-03
13648,1954-03-28,Zejun,Lamba,F,1985-11-16
13653,1955-01-01,Kristen,Iivonen,M,1985-07-11
13670,1953-05-06,Moti,Takanami,F,1987-04-16
13680,1953-08-08,Denny,Speer,M,1985-03-18
13685,1954-05-02,Weicheng,Hockney,F,1988-03-08
13697,1953-04-07,Shuichi,Weedon,M,1985-06-20
13704,1955-05-26,Vishu,Kumaresan,F,1986-05-03
13721,1952-07-01,Sugwoo,Delgrossi,F,1985-08-25
13727,1952-08-13,Vitali,Merey,M,1985-09-21
13738,1953-02-05,Bangqing,Mitchem,F,1988-07-25
13766,1952-05-03,Tremaine,Heemskerk,M,1986-08-18
13769,1955-10-07,Yakichi,Trogemann,F,1986-10-24
13775,1955-06-30,Arve,Maierhofer,M,1987-10-21
13786,1952-02-27,Takushi,Berendt,F,1988-07-02
13787,1952-08-10,Xiaobin,Sinicrope,F,1988-09-19
13792,1953-05-06,Valery,Sury,M,1985-07-27
13796,1953-07-02,Paloma,Thorelli,M,1988-08-28
13809,1953-07-05,Kiyotoshi,Basagni,M,1986-01-12
13815,1953-04-19,Guadalupe,Plotkin,M,1985-09-09
13825,1955-06-12,Arlette,Pell,M,1986-08-02
13841,1952-12-10,Christophe,Spinelli,M,1986-01-09
13842,1954-01-21,Juichirou,Cichocki,F,1987-11-11
13846,1952-08-01,Guiseppe,Welham,M,1985-03-20
13853,1952-03-10,Mingsen,Roohalamini,M,1986-06-02
13859,1952-08-01,Anoosh,Fujisawa,M,1987-08-23
13884,1953-05-03,Kensei,Swift,M,1985-02-18
13894,1952-11-15,Ult,Schonegge,F,1987-11-28
13904,1954-02-19,Youngkon,Cairo,M,1987-09-03
13934,1953-11-20,Shiv,Bratsberg,F,1988-06-10
13942,1953-04-17,Elzbieta,Esteva,M,1985-06-13
13951,1953-01-28,Mooi,Genther,F,1985-12-28
13960,1953-01-03,Nechama,Hettesheimer,M,1986-01-22
13962,1955-11-14,Maris,Ghelli,M,1985-05-17
13966,1954-01-03,Boguslaw,Cooman,F,1988-07-18
13969,1953-06-06,Jianwen,Chandrasekhar,F,1985-05-29
13990,1952-03-07,Deborah,Schapiro,F,1987-10-30
13992,1955-09-27,Ulises,Kenevan,M,1988-07-27
13999,1952-11-25,Florian,Crouzet,M,1985-06-11
14005,1955-04-08,Vojin,Stellhorn,M,1985-05-10
14015,1952-06-21,Manibrata,Picaronny,M,1987-11-27
14034,1952-05-07,Aloys,Seghrouchni,M,1985-08-26
14041,1954-05-09,Shan,DeMori,F,1987-12-22
14067,1955-04-03,Godehard,Trachtenberg,M,1988-10-21
14088,1953-06-03,Mori,Leslie,M,1987-11-10
14107,1953-01-05,Xiahua,Rindone,M,1986-09-04
14111,1955-03-27,Leszek,Cummings,F,1987-07-12
14118,1953-03-09,Kasturi,Anido,M,1985-04-06
14167,1953-08-11,Adas,Hertweck,F,1985-12-01
14191,1952-09-07,Jiann,Luby,F,1987-01-16
14209,1955-10-24,Masanao,Kusakabe,F,1988-04-06
14220,1952-05-01,Tomofumi,Pargas,F,1987-12-02
14232,1954-09-19,Masali,Bojadziev,M,1987-03-14
14236,1952-06-14,Xuedong,Angiulli,F,1988-11-07
14237,1954-10-17,Abdulla,Gerlach,F,1986-06-13
14242,1955-03-14,Sudhanshu,Benaini,F,1985-06-27
14257,1952-05-07,Kwok,Massonet,F,1988-06-17
14290,1955-01-21,Miyeon,Olivero,M,1987-11-12
14292,1953-08-21,Susanna,Vigier,F,1985-09-16
14298,1953-10-02,Chriss,Granlund,F,1986-12-15
14310,1953-06-07,Marlo,Leuchs,M,1987-02-23
14320,1953-06-17,Sreenivas,Schaar,M,1986-06-30
14322,1952-08-14,Shem,Kakkad,M,1986-10-23
14323,1952-05-31,Golgen,Leslie,F,1987-03-12
14340,1955-01-03,Vitaly,Wixon,M,1985-04-03
14344,1955-02-10,Otilia,Buescher,F,1988-12-16
14354,1954-05-30,Mong,Bojadziev,M,1985-08-28
14360,1955-05-25,Janche,Erbe,M,1987-10-24
14372,1952-04-15,Saniya,Srimani,F,1988-01-23
14384,1954-04-30,Tomofumi,Holburn,F,1988-02-13
14422,1953-10-09,Toshimo,Gadepally,M,1985-10-20
14434,1954-07-08,Elvis,Maginnis,M,1987-11-27
14439,1953-07-27,Raimond,Woycyznski,M,1986-11-01
14460,1955-11-28,Yagil,Lueh,F,1988-01-23
14478,1952-05-01,Munehiro,Boissier,F,1987-06-25
14481,1952-10-30,Moti,Lammel,M,1987-08-25
